n_HD	HD	DM	GC	HR	HIP	RAJ2000	DEJ2000	Vmag	Fl	Bayer	Cst	Simbad
 	  2910	BD+19    79 	  641	 131	  2568	00 32 35.40	+20 17 40.0	 5.38	 52	     	Psc	Simbad
 	  2913	BD+06    64 	  636	 132	  2548	00 32 23.75	+06 57 19.6	 5.69	 51	     	Psc	Simbad
 	  3003	CP-63    52 	  651	 136	  2578	00 32 43.79	-63 01 53.0	 5.07	   	bet03	Tuc	Simbad
 	  3038	BD+65    70 	  671	 137	  2707	00 34 24.89	+66 45 01.3	 6.47	 16	     	Cas	Simbad
 	  3112	CP-71    20 	  667	 139	  2629	00 33 23.23	-71 15 58.4	 6.11	   	the  	Tuc	Simbad
 	  3196	BD-04    62 	  696	 142	  2762	00 35 14.64	-03 35 33.9	 5.20	 13	     	Cet	Simbad
 	  3229	BD-01    68 	  701	 143	  2787	00 35 32.75	-00 30 19.7	 5.94	 14	     	Cet	Simbad
 	  3302	CD-48   121 	  706	 147	  2802	00 35 41.13	-48 00 02.4	 5.51	   	lam02	Phe	Simbad
 	  3360	BD+53   105 	  727	 153	  2920	00 36 58.27	+53 53 49.0	 3.69	 17	zet  	Cas	Simbad
 	  3369	BD+32   101 	  729	 154	  2912	00 36 52.84	+33 43 09.7	 4.34	 29	pi.  	And	Simbad
 	  3379	BD+14    76 	  728	 155	  2903	00 36 47.31	+15 13 54.3	 5.89	 53	     	Psc	Simbad
 	  3512	BD-01    75 	  752	    	  2994	00 38 04.57	-00 30 12.6	 6.64	 15	     	Cet	Simbad
 	  3546	BD+28   103 	  759	 163	  3031	00 38 33.50	+29 18 44.5	 4.34	 30	eps  	And	Simbad
 	  3627	BD+30    91 	  774	 165	  3092	00 39 19.60	+30 51 40.4	 3.27	 31	del  	And	Simbad
 	  3651	BD+20    85 	  778	 166	  3093	00 39 22.09	+21 15 04.9	 5.88	 54	     	Psc	Simbad
 	  3690	BD+20    87 	  784	 167	  3138	00 39 55.55	+21 26 18.8	 5.36	 55	     	Psc	Simbad
M	  3712	BD+55   139 	  792	 168	  3179	00 40 30.39	+56 32 14.7	 2.24	 18	alf  	Cas	Simbad
 	  3817	BD+38    90 	  812	 175	  3231	00 41 07.20	+39 27 31.2	 5.30	 32	     	And	Simbad
 	  3901	BD+49   164 	  828	 179	  3300	00 42 03.88	+50 30 45.1	 4.80	 19	ksi  	Cas	Simbad
X	  3919	CD-46   180 	  823	 180	  3245	00 41 19.58	-46 05 06.0	 4.59	   	mu.  	Phe	Simbad
X	  3919	CD-46   180 	  823	 180	  3245	00 41 19.58	-46 05 06.0	 4.59	   	omi  	Phe	Simbad
 	  3980	CP-57   143 	  830	 183	  3277	00 41 46.30	-56 30 05.2	 5.72	   	ksi  	Phe	Simbad
 	  4058	BD+46   146 	  856	 184	  3414	00 43 28.09	+47 01 28.7	 4.95	 20	pi.  	Cas	Simbad
 	  4065	CD-39   175 	  849	 185	  3356	00 42 42.89	-38 27 48.5	 6.05	   	lam01	Scl	Simbad
 	  4089	CP-66    47 	  851	 187	  3330	00 42 28.30	-65 28 05.3	 5.38	   	rho  	Tuc	Simbad
M	  4128	BD-18   115 	  865	 188	  3419	00 43 35.23	-17 59 12.1	 2.04	 16	bet  	Cet	Simbad
 	  4142	BD+47   181 	  874	 189	  3478	00 44 26.23	+47 51 50.3	 5.66	 68	     	Cas	Simbad
 	  4150	CP-58    42 	  866	 191	  3405	00 43 21.24	-57 27 47.2	 4.36	   	eta  	Phe	Simbad
M	  4161	BD+74    27 	  891	 192	  3572	00 45 39.11	+74 59 17.3	 5.64	 21	YZ   	Cas	Simbad
 	  4180	BD+47   183 	  882	 193	  3504	00 44 43.50	+48 17 03.8	 4.48	 22	omi  	Cas	Simbad
 	  4188	BD-11   128 	  875	 194	  3455	00 44 11.41	-10 36 33.4	 4.77	 17	phi01	Cet	Simbad
 	  4211	CD-39   181 	  879	 195	  3456	00 44 11.92	-38 25 19.1	 5.90	   	lam02	Scl	Simbad
 	  4307	BD-13   128 	  907	 203	  3559	00 45 28.71	-12 52 49.1	 6.15	 18	     	Cet	Simbad
 	  4382	BD+74    29 	  934	 208	  3721	00 47 46.02	+74 50 51.3	 5.42	 23	     	Cas	Simbad
 	  4408	BD+14   111 	  928	 211	  3632	00 46 32.98	+15 28 32.2	 5.36	 57	     	Psc	Simbad
 	  4482	BD+11    96 	  935	 213	  3675	00 47 01.43	+11 58 26.2	 5.51	 58	     	Psc	Simbad
 	  4490	BD+18   101 	  938	 214	  3685	00 47 13.56	+19 34 43.3	 6.11	 59	     	Psc	Simbad
 	  4502	BD+23   106 	  940	 215	  3693	00 47 20.39	+24 16 02.6	 4.08	 34	zet  	And	Simbad
 	  4526	BD+05   104 	  941	 216	  3697	00 47 23.62	+06 44 27.5	 5.98	 60	     	Psc	Simbad
 	  4568	BD+20   105 	  951	 217	  3730	00 47 54.73	+20 55 31.1	 6.51	 61	     	Psc	Simbad
M	  4614	BD+57   150 	  962	 219	  3821	00 49 05.10	+57 48 59.6	 3.46	 24	eta  	Cas	Simbad
 	  4627	BD+06   105 	  958	 221	  3760	00 48 17.34	+07 17 59.7	 5.92	 62	     	Psc	Simbad
 	  4636	BD+50   147 	  961	 223	  3801	00 48 49.99	+50 58 05.5	 4.90	 25	nu.  	Cas	Simbad
 	  4656	BD+06   107 	  963	 224	  3786	00 48 40.90	+07 35 06.7	 4.44	 63	del  	Psc	Simbad
 	  4676	BD+16    76 	  968	 225	  3810	00 48 58.71	+16 56 28.1	 5.07	 64	     	Psc	Simbad
 	  4727	BD+40   171 	  989	 226	  3881	00 49 48.83	+41 04 44.2	 4.53	 35	nu.  	And	Simbad
M	  4757	BD+26   131B	  992	 230	  3885	00 49 53.11	+27 42 37.1	 5.55	 65	i    	Psc	Simbad
 	  4758	BD+26   131A	  993	 231	      	00 49 53.20	+27 42 37.0	 7.10	 65	i    	Psc	Simbad
 	  4813	BD-11   153 	 1003	 235	  3909	00 50 07.72	-10 38 37.6	 5.17	 19	phi02	Cet	Simbad
 	  4815	CP-75    64 	  983	 236	  3781	00 48 35.12	-74 55 24.1	 5.09	   	lam  	Hyi	Simbad
 	  4919	CD-51   209 	 1019	 242	  3949	00 50 41.13	-50 59 12.9	 5.24	   	rho  	Phe	Simbad
 	  5112	BD-01   114 	 1055	 248	  4147	00 53 00.49	-01 08 39.2	 4.78	 20	     	Cet	Simbad
 	  5190	CP-70    37 	 1056	 252	  4084	00 52 24.51	-69 30 12.9	 6.67	   	lam01	Tuc	Simbad
 	  5234	BD+58   134 	 1086	 253	  4292	00 55 00.19	+58 58 22.1	 4.83	 26	ups01	Cas	Simbad
 	  5267	BD+18   122 	 1084	 254	  4267	00 54 35.22	+19 11 18.4	 5.80	 66	     	Psc	Simbad
 	  5268	BD-09   181 	 1082	 255	  4257	00 54 17.58	-08 44 26.0	 6.15	 21	     	Cet	Simbad
 	  5286	BD+22   146 	 1091	 258	  4288	00 54 58.02	+23 37 42.4	 5.46	 36	     	And	Simbad
 	  5382	BD+26   151 	 1105	 262	  4366	00 55 58.52	+27 12 33.7	 6.08	 67	k    	Psc	Simbad
 	  5394	BD+59   144 	 1117	 264	  4427	00 56 42.50	+60 43 00.3	 2.15	 27	gam  	Cas	Simbad
 	  5395	BD+58   138 	 1115	 265	  4422	00 56 40.01	+59 10 52.2	 4.62	 28	ups02	Cas	Simbad
 	  5437	BD-12   162 	 1111	 267	  4371	00 56 01.51	-11 15 59.4	 5.35	 22	phi03	Cet	Simbad
 	  5448	BD+37   175 	 1122	 269	  4436	00 56 45.10	+38 29 57.3	 3.86	 37	mu.  	And	Simbad
X	  5457	CP-70    40 	 1102	 270	  4293	00 55 00.30	-69 31 37.1	 5.45	   	lam02	Tuc	Simbad
X	  5457	CP-70    40 	 1102	 270	  4293	00 55 00.30	-69 31 37.1	 5.45	   	lam  	Tuc	Simbad
 	  5516	BD+22   153 	 1136	 271	  4463	00 57 12.43	+23 25 03.9	 4.40	 38	eta  	And	Simbad
 	  5575	BD+28   157 	 1148	 274	  4510	00 57 50.15	+28 59 32.0	 5.44	 68	h    	Psc	Simbad
 	  5679	BD+81    25 	 1202	    	  4843	01 02 18.34	+81 52 32.1	 6.90	   	ups  	Cep	Simbad
M	  5722	BD-12   173 	 1173	 279	  4587	00 58 43.89	-11 22 47.8	 5.62	 23	phi04	Cet	Simbad
 	  5737	CD-30   297 	 1172	 280	  4577	00 58 36.35	-29 21 26.9	 4.30	   	alf  	Scl	Simbad
X	  5848	BD+85    19 	 1288	 285	  5372	01 08 44.16	+86 15 25.6	 4.24	  2	     	UMi	Simbad
X	  5848	BD+85    19 	 1288	 285	  5372	01 08 44.16	+86 15 25.6	 4.24	  2	     	Cep	Simbad
 	  6055	CD-39   260 	 1229	 288	  4770	01 01 18.23	-38 54 59.9	 5.59	   	ksi  	Scl	Simbad
 	  6116	BD+40   209 	 1254	 290	  4903	01 02 54.28	+41 20 42.7	 5.95	 39	     	And	Simbad
 	  6118	BD+31   168 	 1253	 291	  4889	01 02 49.09	+31 48 15.6	 5.50	 69	sig  	Psc	Simbad
 	  6178	CD-32   410 	 1252	 293	  4852	01 02 26.38	-31 33 07.4	 5.50	   	sig  	Scl	Simbad
 	  6186	BD+07   153 	 1258	 294	  4906	01 02 56.66	+07 53 24.3	 4.27	 71	eps  	Psc	Simbad
 	  6192	CP-57   220 	 1250	 295	  4829	01 02 01.81	-57 00 08.7	 6.12	   	ome  	Phe	Simbad
 	  6203	BD-05   177 	 1262	 296	  4914	01 03 02.60	-04 50 10.9	 5.40	 25	     	Cet	Simbad
 	  6288	BD+00   174 	 1281	 301	  4979	01 03 48.96	+01 22 01.0	 6.06	 26	     	Cet	Simbad
 	  6386	BD+04   172 	 1301	 307	  5074	01 04 52.62	+05 39 22.7	 6.03	 73	     	Psc	Simbad
 	  6397	BD+14   163 	 1302	 308	  5081	01 05 05.35	+14 56 45.6	 5.64	 72	     	Psc	Simbad
 	  6456	BD+20   156 	 1309	 310	  5131	01 05 40.93	+21 28 23.6	 5.33	 74	psi01	Psc	Simbad
 	  6457	BD+20   157 	 1310	 311	  5132	01 05 41.68	+21 27 55.7	 5.55	 74	psi01	Psc	Simbad
 	  6476	BD+31   180 	 1320	    	  5175	01 06 11.20	+32 10 53.6	 6.28	 76	     	Psc	Simbad
 	  6479	BD+04   175 	 1317	 313	  5141	01 05 49.22	+04 54 31.2	 6.35	 77	     	Psc	Simbad
 	  6480	BD+04   176 	 1319	 314	  5144	01 05 51.44	+04 54 33.9	 7.42	 77	     	Psc	Simbad
 	  6482	BD-10   229 	 1313	 315	  5121	01 05 36.90	-09 58 45.3	 6.09	 27	     	Cet	Simbad
 	  6530	BD-10   230 	 1325	 317	  5164	01 06 05.13	-09 50 21.7	 5.58	 28	     	Cet	Simbad
 	  6557	BD+12   135 	 1336	 319	  5204	01 06 33.62	+12 57 21.5	 6.14	 75	     	Psc	Simbad
M	  6582	BD+54   223 	 1360	 321	  5336	01 08 12.92	+54 55 27.2	 5.17	 30	mu.  	Cas	Simbad
 	  6595	CD-47   324 	 1335	 322	  5165	01 06 05.11	-46 43 06.6	 3.32	   	bet  	Phe	Simbad
 	  6658	BD+43   234 	 1364	 324	  5317	01 08 00.72	+43 56 32.1	 5.04	 41	     	And	Simbad
 	  6680	BD+31   185 	 1368	 327	  5319	01 08 01.20	+32 00 43.9	 6.23	 78	     	Psc	Simbad
 	  6695	BD+19   185 	 1370	 328	  5310	01 07 57.11	+20 44 21.6	 5.56	 79	psi02	Psc	Simbad
 	  6706	BD-10   238 	 1369	 329	  5296	01 07 46.12	-09 47 08.1	 5.71	 30	     	Cet	Simbad
 	  6734	BD+01   212 	 1374	    	  5315	01 07 59.58	+01 59 38.7	 6.44	 29	     	Cet	Simbad
M	  6763	BD+04   190 	 1383	 330	  5346	01 08 22.34	+05 39 00.8	 5.51	 80	e    	Psc	Simbad
 	  6767	CD-42   391 	 1378	 331	  5300	01 07 47.83	-41 29 13.0	 5.21	   	ups  	Phe	Simbad
 	  6793	CP-62    89 	 1372	 332	  5268	01 07 18.57	-61 46 30.9	 5.36	   	iot  	Tuc	Simbad
M	  6805	BD-10   240 	 1384	 334	  5364	01 08 35.26	-10 10 54.9	 3.46	 31	eta  	Cet	Simbad
 	  6811	BD+46   275 	 1394	 335	  5434	01 09 30.12	+47 14 30.6	 4.26	 42	phi  	And	Simbad
 	  6829	BD+68    77 	 1406	 336	  5518	01 10 39.27	+68 46 43.3	 5.32	 31	     	Cas	Simbad
M	  6860	BD+34   198 	 1400	 337	  5447	01 09 43.80	+35 37 15.0	 2.07	 43	bet  	And	Simbad
 	  6882	CP-55   241 	 1387	 338	  5348	01 08 23.06	-55 14 45.0	 3.94	   	zet  	Phe	Simbad
 	  6903	BD+18   153 	 1404	 339	  5454	01 09 49.20	+19 39 30.2	 5.57	 81	psi03	Psc	Simbad
 	  6920	BD+41   219 	 1410	 340	  5493	01 10 18.85	+42 04 53.7	 5.67	 44	     	And	Simbad
M	  6961	BD+54   236 	 1424	 343	  5542	01 11 05.93	+55 08 59.8	 4.34	 33	the  	Cas	Simbad
X	  6972	BD+64   127 	 1434	 345	  5589	01 11 41.37	+65 01 08.0	 5.57	 32	     	Cas	Simbad
X	  6972	BD+64   127 	 1434	 345	  5589	01 11 41.37	+65 01 08.0	 5.57	 32	RU   	Cas	Simbad
 	  6976	BD-09   227 	 1418	 346	  5485	01 10 11.96	-08 54 21.7	 6.40	 32	     	Cet	Simbad
 	  7014	BD+01   221 	 1422	 347	  5510	01 10 33.56	+02 26 44.6	 5.97	 33	     	Cet	Simbad
 	  7019	BD+36   201 	 1432	 348	  5550	01 11 10.29	+37 43 26.9	 5.80	 45	     	And	Simbad
 	  7034	BD+30   181 	 1431	 349	  5544	01 11 06.77	+31 25 29.2	 5.15	 82	g    	Psc	Simbad
 	  7087	BD+20   172 	 1437	 351	  5571	01 11 27.19	+21 02 04.8	 4.66	 84	chi  	Psc	Simbad
 	  7106	BD+29   190 	 1441	 352	  5586	01 11 39.59	+30 05 23.0	 4.51	 83	tau  	Psc	Simbad
 	  7147	BD-03   161 	 1444	 353	  5594	01 11 43.54	-02 15 03.7	 5.93	 34	     	Cet	Simbad
 	  7218	BD+01   223 	 1454	    	  5646	01 12 30.75	+02 28 18.6	 6.55	 35	     	Cet	Simbad
 	  7318	BD+23   158 	 1474	 360	  5742	01 13 44.94	+24 35 01.6	 4.67	 85	phi  	Psc	Simbad
X	  7344	BD+06   174 	 1476	 361	  5737	01 13 43.80	+07 34 31.8	 5.21	 86	zet  	Psc	Simbad
X	  7344	BD+06   174 	 1476	 361	  5737	01 13 43.80	+07 34 31.8	 5.21	 86	zet01	Psc	Simbad
X	  7345	BD+06   175 	 1477	 362	  5743	01 13 45.17	+07 34 42.2	 6.44	 86	zet  	Psc	Simbad
X	  7345	BD+06   175 	 1477	 362	  5743	01 13 45.17	+07 34 42.2	 6.44	 86	zet02	Psc	Simbad
 	  7374	BD+15   177 	 1482	 364	  5778	01 14 07.65	+16 08 00.8	 5.97	 87	     	Psc	Simbad
 	  7439	BD-08   216 	 1491	 366	  5799	01 14 23.97	-07 55 24.6	 5.14	 37	     	Cet	Simbad
 	  7446	BD+06   181 	 1496	 367	  5824	01 14 42.40	+06 59 42.7	 6.04	 88	     	Psc	Simbad
 	  7476	BD-01   162 	 1501	 368	  5833	01 14 49.18	-00 58 27.5	 5.70	 38	     	Cet	Simbad
 	  7570	CD-46   346 	 1510	 370	  5862	01 15 10.57	-45 31 55.5	 4.97	   	nu.  	Phe	Simbad
 	  7672	BD-03   172 	 1534	 373	  5951	01 16 36.35	-02 30 00.8	 5.42	 39	     	Cet	Simbad
 	  7727	BD-03   174 	 1542	    	  5985	01 16 58.86	-02 16 43.7	 6.52	 40	     	Cet	Simbad
 	  7769	BD+71    66 	 1579	    	      	01 19 41.90	+72 36 38.0	     	   	S    	Cas	Simbad
X	  7788	CP-69    45 	 1536	 377	  5896	01 15 45.50	-68 52 34.5	 4.25	   	kap  	Tuc	Simbad
X	  7788	CP-69    45 	 1536	 377	  5896	01 15 45.50	-68 52 34.5	 4.25	   	kap01	Tuc	Simbad
M	  7804	BD+02   185 	 1566	 378	  6061	01 17 47.98	+03 36 52.3	 5.13	 89	f    	Psc	Simbad
 	  7927	BD+57   260 	 1594	 382	  6242	01 20 04.92	+58 13 53.8	 4.95	 34	phi  	Cas	Simbad
 	  7964	BD+26   220 	 1591	 383	  6193	01 19 27.98	+27 15 50.7	 4.74	 90	ups  	Psc	Simbad
 	  8003	BD+63   176 	 1613	 384	  6312	01 21 05.19	+64 39 29.5	 6.33	 35	     	Cas	Simbad
 	  8036	BD-01   171 	 1600	 385	  6226	01 19 48.29	-00 30 32.4	 5.87	 42	     	Cet	Simbad
 	  8126	BD+27   215 	 1630	 389	  6315	01 21 07.35	+28 44 18.2	 5.23	 91	l    	Psc	Simbad
M	  8207	BD+44   287 	 1647	 390	  6411	01 22 20.39	+45 31 43.5	 4.87	 46	ksi  	And	Simbad
 	  8335	BD-01   179 	 1655	 393	  6429	01 22 34.82	-00 26 58.7	 6.50	 43	     	Cet	Simbad
 	  8374	BD+36   237 	 1681	 395	  6514	01 23 40.56	+37 42 54.0	 5.60	 47	     	And	Simbad
 	  8491	BD+67   123 	 1707	 399	  6692	01 25 55.90	+68 07 47.8	 4.72	 36	psi  	Cas	Simbad
 	  8511	BD-08   243 	 1696	 401	  6539	01 24 02.43	-08 00 26.1	 6.21	 44	     	Cet	Simbad
 	  8512	BD-08   244 	 1695	 402	  6537	01 24 01.45	-08 10 57.9	 3.60	 45	the  	Cet	Simbad
M	  8538	BD+59   248 	 1715	 403	  6686	01 25 48.60	+60 14 07.5	 2.66	 37	del  	Cas	Simbad
 	  8705	BD-15   266 	 1725	 412	  6670	01 25 37.21	-14 35 55.5	 4.90	 46	     	Cet	Simbad
 	  8723	BD+18   187 	 1733	 413	  6706	01 26 15.28	+19 10 20.4	 5.35	 93	rho  	Psc	Simbad
 	  8763	BD+18   189 	 1740	 414	  6732	01 26 41.65	+19 14 26.0	 5.50	 94	     	Psc	Simbad
 	  8799	BD+44   307 	 1752	 417	  6813	01 27 39.09	+45 24 25.0	 4.83	 48	ome  	And	Simbad
 	  8829	BD-13   262 	 1747	 421	  6748	01 26 51.56	-13 03 23.5	 5.51	 47	     	Cet	Simbad
 	  8875	BD+04   251 	 1766	    	  6815	01 27 39.80	+05 21 09.4	 7.21	 95	     	Psc	Simbad
 	  8879	CD-33   525 	 1753	 423	  6759	01 26 58.10	-32 32 35.2	 6.57	   	R    	Scl	Simbad
M	  8890	BD+88     8 	 2243	 424	 11767	02 31 47.08	+89 15 50.9	 1.97	  1	alf  	UMi	Simbad
 	  9021	BD+69   102 	 1817	 427	  7078	01 31 13.52	+70 15 53.2	 5.82	 38	     	Cas	Simbad
X	  9053	CD-43   449 	 1787	 429	  6867	01 28 21.94	-43 19 03.8	 3.41	   	gam  	Phe	Simbad
X	  9053	CD-43   449 	 1787	 429	  6867	01 28 21.94	-43 19 03.8	 3.41	   	ups  	Phe	Simbad
X	  9057	BD+46   370 	 1806	 430	  6999	01 30 06.10	+47 00 26.6	 5.27	 49	A    	And	Simbad
X	  9057	BD+46   370 	 1806	 430	  6999	01 30 06.10	+47 00 26.6	 5.27	 49	a    	And	Simbad
 	  9100	BD+17   210 	 1807	 432	  6981	01 29 52.83	+18 21 20.4	 6.01	 97	     	Psc	Simbad
 	  9132	BD-22   254 	 1808	 433	  6960	01 29 36.10	-21 37 45.6	 5.11	 48	     	Cet	Simbad
 	  9138	BD+05   194 	 1819	 434	  7007	01 30 10.94	+06 08 38.2	 4.84	 98	mu.  	Psc	Simbad
M	  9270	BD+14   231 	 1839	 437	  7097	01 31 28.99	+15 20 45.0	 3.62	 99	eta  	Psc	Simbad
 	  9362	CD-49   425 	 1847	 440	  7083	01 31 14.98	-49 04 23.1	 3.93	   	del  	Phe	Simbad
 	  9408	BD+58   260 	 1879	 442	  7294	01 33 55.93	+59 13 55.5	 4.68	 39	chi  	Cas	Simbad
 	  9656	BD+11   201 	 1904	    	  7364	01 34 51.64	+12 33 31.0	 7.05	100	     	Psc	Simbad
